,x-pixel,y-pixel
0,19,374
1,22,457
2,69,258
3,109,257
4,149,257
5,235,257
6,194,257
7,369,258
8,457,256
9,275,258
10,33,260
11,409,259
12,321,259
13,79,258
14,195,206
15,120,257
16,160,257
17,12,262
18,154,207
19,234,206
20,51,372
21,194,371
22,105,371
23,401,207
24,115,208
25,283,257
26,241,373
27,146,371
28,243,257
29,441,207
30,274,207
31,418,124
32,379,126
33,93,371
34,291,375
35,65,371
36,203,257
37,442,376
38,22,260
39,387,376
40,417,258
41,446,258
42,42,260
43,339,375
44,490,376
45,15,209
46,315,208
47,77,208
48,359,258
49,341,126
50,330,258
51,355,208
52,492,254
53,38,208
54,478,206
55,428,376
56,156,372
57,250,374
58,203,371
59,477,376
60,27,373
61,229,372
62,279,374
63,326,375
64,69,458
65,375,375
66,531,374
