,x-pixel,y-pixel,Drop
0,488,615,N
1,480,672,N
2,448,587,N
3,480,562,N
4,512,610,N
5,456,647,N
6,513,156,N
7,547,156,N
8,579,156,N
9,482,156,N
10,618,155,N
11,508,282,N
12,450,157,N
13,547,284,N
14,397,287,N
15,473,283,N
16,587,286,N
17,338,284,N
19,362,158,N
21,260,282,N
22,624,286,N
23,299,283,N
24,395,158,N
25,227,281,N
27,597,234,N
28,476,395,N
29,522,395,N
30,433,286,N
31,524,234,N
32,558,234,N
33,330,158,N
34,451,236,N
36,563,397,N
37,486,233,N
38,436,394,N
39,617,398,N
40,322,238,N
41,630,234,N
42,189,281,N
43,395,393,N
44,359,238,N
46,243,392,N
48,286,237,N
49,413,240,N
52,301,158,N
53,284,393,N
55,269,158,N
57,364,393,N
61,196,391,N
65,252,237,N
71,22,281,N
72,117,281,N
74,340,481,N
